target_wp_x,target_wp_y,pos_x,pos_y,yaw_sin,yaw_cos,velocity,perp_error,heading_error,passed,steer_angle,throttle,reward,reward_total,plan_x1,plan_y1,plan_x2,plan_y2,plan_x3,plan_y3
2.4999998,-6.7033046e-09,-2.4789798,-2.0881543,0.63261634,0.7744654,0.0,0.0,-2.6813218e-09,0.0,-6.056633000210742e-10,0.8004800000000001,0.0,0.0,0.8749999500001369,3.453629804361924e-08,1.749999992323739,-6.341146163713063e-09,2.749867460346156,0.006988477044438612
2.5000095,2.4197325e-08,-2.4789872,-2.0881605,0.63261634,0.7744653,10.002649,0.0,9.678893e-09,0.0,1.6518824254907504e-09,-0.1999050896835327,0.0,0.0,0.8749999500001375,1.5427872313011903e-09,1.749999900000275,3.0855744626023807e-09,2.7498672343684305,0.00698809638515252
2.5000167,6.345659e-08,-2.4789927,-2.088165,0.63261634,0.7744653,7.4969864,0.0,2.5382466e-08,0.0,7.1909946246602794e-09,0.05069138294219971,0.0,0.0,0.8749999500001375,1.5427872313011903e-09,1.749999975414021,9.540903667115685e-08,2.749867268187863,0.006987760910736718
2.5000243,1.7035472e-07,-2.4789987,-2.08817,0.63261634,0.7744653,8.124678,0.0,6.814122e-08,0.0,2.1736894855069365e-08,-0.012085224609375002,0.0,0.0,0.8750000254138832,9.386624943985566e-08,1.7500001431512286,1.1231875318706841e-07,2.7498673020072966,0.006987425436320915
2.500032,1.1374334e-07,-2.4790046,-2.0881748,0.63261634,0.7744653,7.967437,0.0,4.5496755e-08,0.0,2.9456526869929126e-08,0.003640815944671631,0.0,0.0,0.8749999500001375,8.940788664979493e-09,1.7500000677374827,3.479129517813817e-08,2.7498675204145804,0.006986962384156525
2.5000396,2.879445e-07,-2.4790106,-2.0881796,0.6326163,0.7744654,8.006829,0.0,1.15175965e-07,0.0,5.200727077375251e-08,-0.00029884094238281255,0.0,0.0,0.8749999500001322,9.712183784982287e-08,1.7500000677374703,2.111534105342372e-07,2.7498674027024306,0.006986719389908469
2.5000472,2.3133408e-07,-2.4790165,-2.0881844,0.6326163,0.7744654,7.996961,0.0,9.2531884e-08,0.0,6.679008846021559e-08,0.0006881558895111084,0.0,0.0,0.8749999500001313,1.0451984894244148e-07,1.7499999923237337,1.336259630724257e-07,2.7498673610490965,0.006986314841797903
2.5000548,-3.4952368e-08,-2.4790225,-2.0881891,0.63261634,0.7744654,7.999435,0.0,-1.398064e-08,0.0,5.577445121506045e-08,0.0004408066749572754,0.0,0.0,0.8750000423236022,-3.688093569431672e-08,1.750000160060946,1.8561594039567808e-08,2.7498675046285888,0.006985528838576505
2.5000625,-9.1563145e-08,-2.4790285,-2.088194,0.6326163,0.7744654,7.998816,0.0,-3.6624343e-08,0.0,4.093995862162042e-08,0.0005027711772918702,0.0,0.0,0.8750000423236024,-2.9482927377255663e-08,1.7500000846472048,-5.8965854754511327e-08,2.749867462975236,0.006985124290457945
2.50007,-3.5785132e-07,-2.4790344,-2.0881987,0.63261634,0.7744653,7.9989715,0.0,-1.431365e-07,0.0,3.7914819197918285e-09,0.0004872879981994629,0.0,0.0,0.8750000423235977,-9.546999424348002e-08,1.7500000846471955,-1.9093998848696003e-07,2.74986742190768,0.006984489114661763
2.5000777,-4.875949e-07,-2.4790404,-2.0882034,0.6326164,0.7744653,7.9989333,0.0,-1.9503187e-07,0.0,-4.0708833374710594e-08,0.0004911666965484619,0.0,0.0,0.8750001346470544,-1.8908127635830496e-07,1.7500001015568998,-3.950722615719826e-07,2.7498675651055224,0.006983853299801668
2.5000854,-5.2306825e-07,-2.4790463,-2.0882082,0.6326164,0.7744653,7.9989433,0.0,-2.0922015e-07,0.0,-8.317869788492051e-08,0.0004902287387847901,0.0,0.0,0.8750001346470574,-1.742852641095638e-07,1.7500001015569064,-3.6548023996108014e-07,2.7498675233931023,0.006983472001431235
2.500093,-7.682209e-07,-2.4790523,-2.088213,0.6326164,0.77446526,7.9989414,0.0,-3.0727693e-07,0.0,-1.42801403772299e-07,0.000490482988357544,0.0,0.0,0.8750000592332892,-3.2519782744433456e-07,1.7500000261431237,-5.749819004252643e-07,2.7498674068525943,0.006982767751803509
2.5001006,-6.882853e-07,-2.4790583,-2.0882177,0.6326164,0.7744653,7.9989443,0.0,-2.7530302e-07,0.0,-1.8818733485783146e-07,0.0004902602291107179,0.0,0.0,0.875000059233308,-2.700102484931577e-07,1.750000118466616,-5.400204969863154e-07,2.749867549464768,0.0069823625647313925
2.5001082,-6.0834867e-07,-2.4790642,-2.0882225,0.63261634,0.7744654,7.9989424,0.0,-2.433289e-07,0.0,-2.2101135703825705e-07,0.0004905144214630128,0.0,0.0,0.8750000592333234,-2.1482264672689766e-07,1.7500001184666467,-4.296452934537953e-07,2.749867507430075,0.006982108205234816
2.4986908,-2.9447054e-07,-2.4779665,-2.0873256,0.63261616,0.7744655,0.5263804,0.0,-1.1784993e-07,0.0,-2.2163023944416147e-07,0.7481951271414756,0.0,0.0,0.8749999838196266,-1.1598764410036821e-07,1.7499999676392533,-2.3197528820073643e-07,2.749865381111853,0.0070592519353538385
2.495805,-1.51718605e-05,-2.4757302,-2.0855017,0.63262147,0.77446115,1.7218153,0.0,-6.078945e-06,0.0,-1.568682399784023e-06,0.6290283254265785,0.0,0.0,0.8750000669925906,-5.251794681748745e-06,1.7500000585708264,-1.0595912328104085e-05,2.749861201489148,0.007199187095306758
