radius_m,mu,g_mps2,safety_margin,vmax_mps,vmax_kph,curvature_1pm
8.0,0.3,9.80665,0.9,4.3662486873745525,15.71849527454839,0.125
8.682220967164563,0.3,9.80665,0.9,4.5486119911658305,16.37500316819699,0.11517790249544636
9.422620115333999,0.3,9.80665,0.9,4.738591987672262,17.058931155620144,0.10612759378600434
10.22615874137243,0.3,9.80665,0.9,4.936506800149518,17.771424480538265,0.09778842919328595
11.098221229737115,0.3,9.80665,0.9,5.142687838775767,18.51367621959276,0.09010452930245716
12.044651132381807,0.3,9.80665,0.9,5.357480355601073,19.286929280163864,0.083024405523172
13.07179032546847,0.3,9.80665,0.9,5.581244022675147,20.09247848163053,0.07650061507272239
14.18652150527016,0.3,9.80665,0.9,5.814353534321491,20.931672723557366,0.07048944306950151
15.396314308023445,0.3,9.80665,0.9,6.057199234566507,21.805917244439428,0.06495060960653891
16.70927536277212,0.3,9.80665,0.9,6.310187770774179,22.716675974787044,0.05984699984225389
18.134202612598305,0.3,9.80665,0.9,6.573742774580812,23.665473988490923,0.055144415299808874
19.68064426823892,0.3,9.80665,0.9,6.848305571270125,24.65390005657245,0.050811344708558304
21.35896278912639,0.3,9.80665,0.9,7.13433591877651,25.683609307595436,0.046818752852038716
23.180404320580113,0.3,9.80665,0.9,7.432312777553924,26.756325999194125,0.043139886007604114
25.157174052436584,0.3,9.80665,0.9,7.742735112599586,27.87384640535851,0.039750092673987984
27.302518004084163,0.3,9.80665,0.9,8.066122728975474,29.038041824311705,0.03662665838551634
29.630811783930948,0.3,9.80665,0.9,8.403017142226679,30.250861712016043,0.033748653506088175
32.15765691806901,0.3,9.80665,0.9,8.753982485154188,31.514336946555076,0.031096792983014623
34.899985393617925,0.3,9.80665,0.9,9.119606452460465,32.83058322885768,0.0286533071209499
37.87617311727583,0.3,9.80665,0.9,9.500501284849634,34.201804625458685,0.02640182250999076
41.106163049345874,0.3,9.80665,0.9,9.897304794230187,35.630297259228676,0.024327252310062372
44.61159883833952,0.3,9.80665,0.9,10.310681431736922,37.11845315425292,0.02241569515640388
48.415969851620716,0.3,9.80665,0.9,10.741323400360464,38.66876424129767,0.020654342008735473
52.54476857391859,0.3,9.80665,0.9,11.18995181404758,40.28382653057129,0.01903139031991789
57.02566142841072,0.3,9.80665,0.9,11.657317905213125,41.96634445876725,0.017535964948962268
61.88867416502191,0.3,9.80665,0.9,12.144204282685637,43.71913541766829,0.01615804528844112
67.16639305819612,0.3,9.80665,0.9,12.651426242193038,45.54513447189494,0.014888398117992625
72.89418326233583,0.3,9.80665,0.9,13.17983313158286,47.4473992736983,0.013718515733980334
79.11042578807361,0.3,9.80665,0.9,13.730309773063052,49.42911518302699,0.012640558940725057
85.8567746873161,0.3,9.80665,0.9,14.303777944844871,51.493600601441536,0.011647304521302186
93.17843617041748,0.3,9.80665,0.9,14.901197924669068,53.64431252880865,0.010732096835914515
101.12447152580039,0.3,9.80665,0.9,15.523570097799771,55.88485235207918,0.009888803223509207
109.7481258718426,0.3,9.80665,0.9,16.171936632178863,58.218971875843906,0.009111772907791985
119.10718494394104,0.3,9.80665,0.9,16.847383223545766,60.65057960476476,0.008395799132274511
